timestamp,datetime,motion
1499446801,2017-07-08 00:00:01,1
1499446804,2017-07-08 00:00:04,1
1499446807,2017-07-08 00:00:07,1
1499446810,2017-07-08 00:00:10,1
1499446814,2017-07-08 00:00:14,1
1499446817,2017-07-08 00:00:17,1
1499446819,2017-07-08 00:00:19,1
1499446822,2017-07-08 00:00:22,1
1499446825,2017-07-08 00:00:25,1
1499446828,2017-07-08 00:00:28,1
1499446831,2017-07-08 00:00:31,1
1499446834,2017-07-08 00:00:34,1
1499446837,2017-07-08 00:00:37,1
1499446840,2017-07-08 00:00:40,1
1499446843,2017-07-08 00:00:43,1
1499446846,2017-07-08 00:00:46,1
1499446849,2017-07-08 00:00:49,1
1499446852,2017-07-08 00:00:52,1
1499446855,2017-07-08 00:00:55,1
1499446858,2017-07-08 00:00:58,1
1499446862,2017-07-08 00:01:02,1
1499446865,2017-07-08 00:01:05,1
1499446867,2017-07-08 00:01:07,1
1499446870,2017-07-08 00:01:10,1
1499446873,2017-07-08 00:01:13,1
1499446877,2017-07-08 00:01:17,1
1499446880,2017-07-08 00:01:20,1
1499446882,2017-07-08 00:01:22,1
1499446890,2017-07-08 00:01:30,1
1499446893,2017-07-08 00:01:33,1
1499446895,2017-07-08 00:01:35,1
1499446896,2017-07-08 00:01:36,1
1499446897,2017-07-08 00:01:37,1
1499446900,2017-07-08 00:01:40,1
1499446903,2017-07-08 00:01:43,1
1499446906,2017-07-08 00:01:46,1
1499446909,2017-07-08 00:01:49,1
1499446912,2017-07-08 00:01:52,1
1499446915,2017-07-08 00:01:55,1
1499446918,2017-07-08 00:01:58,1
1499446921,2017-07-08 00:02:01,1
1499446924,2017-07-08 00:02:04,1
1499446927,2017-07-08 00:02:07,1
1499446930,2017-07-08 00:02:10,1
1499446933,2017-07-08 00:02:13,1
1499446936,2017-07-08 00:02:16,1
1499446939,2017-07-08 00:02:19,1
1499446942,2017-07-08 00:02:22,1
1499446945,2017-07-08 00:02:25,1
1499446948,2017-07-08 00:02:28,1
1499446951,2017-07-08 00:02:31,1
1499446954,2017-07-08 00:02:34,1
1499446957,2017-07-08 00:02:37,1
1499446961,2017-07-08 00:02:41,1
1499446963,2017-07-08 00:02:43,1
1499446966,2017-07-08 00:02:46,1
1499446969,2017-07-08 00:02:49,1
1499446972,2017-07-08 00:02:52,1
1499446975,2017-07-08 00:02:55,1
1499446978,2017-07-08 00:02:58,1
1499446981,2017-07-08 00:03:01,1
1499446984,2017-07-08 00:03:04,1
1499446987,2017-07-08 00:03:07,1
1499446990,2017-07-08 00:03:10,1
1499446993,2017-07-08 00:03:13,1
1499446996,2017-07-08 00:03:16,1
1499446999,2017-07-08 00:03:19,1
1499447002,2017-07-08 00:03:22,1
1499447005,2017-07-08 00:03:25,1
1499447008,2017-07-08 00:03:28,1
1499447011,2017-07-08 00:03:31,1
1499447014,2017-07-08 00:03:34,1
1499447017,2017-07-08 00:03:37,1
1499447020,2017-07-08 00:03:40,1
1499447023,2017-07-08 00:03:43,1
1499447026,2017-07-08 00:03:46,1
1499447029,2017-07-08 00:03:49,1
1499447032,2017-07-08 00:03:52,1
1499447035,2017-07-08 00:03:55,1
1499447038,2017-07-08 00:03:58,1
1499447041,2017-07-08 00:04:01,1
1499447044,2017-07-08 00:04:04,1
1499447047,2017-07-08 00:04:07,1
1499447050,2017-07-08 00:04:10,1
1499447053,2017-07-08 00:04:13,1
1499447056,2017-07-08 00:04:16,1
1499447059,2017-07-08 00:04:19,1
1499447062,2017-07-08 00:04:22,1
1499447065,2017-07-08 00:04:25,1
1499447068,2017-07-08 00:04:28,1
1499447071,2017-07-08 00:04:31,0
1499447074,2017-07-08 00:04:34,0
1499447077,2017-07-08 00:04:37,0
1499447080,2017-07-08 00:04:40,1
1499447083,2017-07-08 00:04:43,1
1499447086,2017-07-08 00:04:46,1
1499447089,2017-07-08 00:04:49,1
1499447092,2017-07-08 00:04:52,1
1499447095,2017-07-08 00:04:55,1
1499447098,2017-07-08 00:04:58,1
1499447101,2017-07-08 00:05:01,1
1499447104,2017-07-08 00:05:04,1
1499447107,2017-07-08 00:05:07,1
1499447110,2017-07-08 00:05:10,0
1499447113,2017-07-08 00:05:13,0
1499447116,2017-07-08 00:05:16,0
1499447119,2017-07-08 00:05:19,0
1499447122,2017-07-08 00:05:22,0
1499447125,2017-07-08 00:05:25,0
1499447128,2017-07-08 00:05:28,0
1499447131,2017-07-08 00:05:31,0
1499447135,2017-07-08 00:05:35,0
1499447137,2017-07-08 00:05:37,0
1499447141,2017-07-08 00:05:41,0
1499447144,2017-07-08 00:05:44,0
1499447146,2017-07-08 00:05:46,0
1499447149,2017-07-08 00:05:49,0
1499447153,2017-07-08 00:05:53,0
1499447156,2017-07-08 00:05:56,0
1499447158,2017-07-08 00:05:58,0
1499447161,2017-07-08 00:06:01,0
1499447164,2017-07-08 00:06:04,0
1499447167,2017-07-08 00:06:07,0
1499447170,2017-07-08 00:06:10,0
1499447171,2017-07-08 00:06:11,0
1499447175,2017-07-08 00:06:15,0
1499447179,2017-07-08 00:06:19,0
1499447182,2017-07-08 00:06:22,0
1499447185,2017-07-08 00:06:25,0
1499447188,2017-07-08 00:06:28,0
1499447191,2017-07-08 00:06:31,0
1499447194,2017-07-08 00:06:34,1
1499447197,2017-07-08 00:06:37,1
1499447200,2017-07-08 00:06:40,1
1499447203,2017-07-08 00:06:43,1
1499447206,2017-07-08 00:06:46,1
1499447209,2017-07-08 00:06:49,1
1499447212,2017-07-08 00:06:52,1
1499447215,2017-07-08 00:06:55,1
1499447218,2017-07-08 00:06:58,1
1499447221,2017-07-08 00:07:01,1
1499447224,2017-07-08 00:07:04,1
1499447227,2017-07-08 00:07:07,1
1499447230,2017-07-08 00:07:10,1
1499447233,2017-07-08 00:07:13,0
1499447236,2017-07-08 00:07:16,0
1499447239,2017-07-08 00:07:19,0
1499447242,2017-07-08 00:07:22,0
1499447245,2017-07-08 00:07:25,0
1499447248,2017-07-08 00:07:28,0
1499447251,2017-07-08 00:07:31,0
1499447254,2017-07-08 00:07:34,0
1499447257,2017-07-08 00:07:37,0
1499447260,2017-07-08 00:07:40,0
1499447263,2017-07-08 00:07:43,1
1499447266,2017-07-08 00:07:46,1
1499447269,2017-07-08 00:07:49,1
1499447272,2017-07-08 00:07:52,1
1499447275,2017-07-08 00:07:55,1
1499447278,2017-07-08 00:07:58,1
1499447281,2017-07-08 00:08:01,1
1499447284,2017-07-08 00:08:04,1
1499447287,2017-07-08 00:08:07,1
1499447290,2017-07-08 00:08:10,1
1499447293,2017-07-08 00:08:13,0
1499447296,2017-07-08 00:08:16,1
1499447299,2017-07-08 00:08:19,1
1499447302,2017-07-08 00:08:22,1
1499447305,2017-07-08 00:08:25,1
1499447308,2017-07-08 00:08:28,1
1499447311,2017-07-08 00:08:31,1
1499447314,2017-07-08 00:08:34,1
1499447317,2017-07-08 00:08:37,1
1499447320,2017-07-08 00:08:40,1
1499447323,2017-07-08 00:08:43,1
1499447326,2017-07-08 00:08:46,0
1499447329,2017-07-08 00:08:49,0
1499447332,2017-07-08 00:08:52,0
1499447335,2017-07-08 00:08:55,0
1499447338,2017-07-08 00:08:58,0
1499447341,2017-07-08 00:09:01,0
1499447344,2017-07-08 00:09:04,0
1499447347,2017-07-08 00:09:07,0
1499447350,2017-07-08 00:09:10,0
1499447353,2017-07-08 00:09:13,0
1499447356,2017-07-08 00:09:16,0
1499447359,2017-07-08 00:09:19,0
1499447362,2017-07-08 00:09:22,0
1499447365,2017-07-08 00:09:25,0
1499447368,2017-07-08 00:09:28,0
1499447371,2017-07-08 00:09:31,0
1499447374,2017-07-08 00:09:34,0
1499447377,2017-07-08 00:09:37,0
1499447380,2017-07-08 00:09:40,0
1499447383,2017-07-08 00:09:43,0
1499447386,2017-07-08 00:09:46,0
1499447389,2017-07-08 00:09:49,0
1499447392,2017-07-08 00:09:52,0
1499447395,2017-07-08 00:09:55,0
1499447398,2017-07-08 00:09:58,0
1499447401,2017-07-08 00:10:01,0
1499447404,2017-07-08 00:10:04,0
1499447407,2017-07-08 00:10:07,0
1499447410,2017-07-08 00:10:10,0
1499447413,2017-07-08 00:10:13,0
1499447416,2017-07-08 00:10:16,0
1499447419,2017-07-08 00:10:19,0
1499447422,2017-07-08 00:10:22,0
1499447425,2017-07-08 00:10:25,0
1499447428,2017-07-08 00:10:28,0
1499447431,2017-07-08 00:10:31,0
1499447434,2017-07-08 00:10:34,0
1499447437,2017-07-08 00:10:37,0
1499447440,2017-07-08 00:10:40,0
1499447443,2017-07-08 00:10:43,0
1499447446,2017-07-08 00:10:46,0
1499447449,2017-07-08 00:10:49,0
1499447452,2017-07-08 00:10:52,0
1499447455,2017-07-08 00:10:55,0
1499447457,2017-07-08 00:10:57,0
1499447460,2017-07-08 00:11:00,0
1499447464,2017-07-08 00:11:04,0
1499447467,2017-07-08 00:11:07,0
1499447470,2017-07-08 00:11:10,0
1499447473,2017-07-08 00:11:13,0
1499447476,2017-07-08 00:11:16,0
1499447480,2017-07-08 00:11:20,0
1499447483,2017-07-08 00:11:23,0
1499447486,2017-07-08 00:11:26,0
1499447488,2017-07-08 00:11:28,0
1499447491,2017-07-08 00:11:31,0
1499447499,2017-07-08 00:11:39,0
1499447502,2017-07-08 00:11:42,0
1499447503,2017-07-08 00:11:43,0
1499447504,2017-07-08 00:11:44,0
1499447506,2017-07-08 00:11:46,0
1499447509,2017-07-08 00:11:49,0
1499447512,2017-07-08 00:11:52,0
1499447515,2017-07-08 00:11:55,0
1499447519,2017-07-08 00:11:59,0
1499447521,2017-07-08 00:12:01,0
1499447524,2017-07-08 00:12:04,0
1499447527,2017-07-08 00:12:07,0
1499447530,2017-07-08 00:12:10,0
1499447533,2017-07-08 00:12:13,0
1499447536,2017-07-08 00:12:16,0
1499447539,2017-07-08 00:12:19,0
1499447542,2017-07-08 00:12:22,0
1499447545,2017-07-08 00:12:25,0
1499447548,2017-07-08 00:12:28,0
1499447551,2017-07-08 00:12:31,0
1499447554,2017-07-08 00:12:34,0
1499447562,2017-07-08 00:12:42,0
1499447565,2017-07-08 00:12:45,0
1499447566,2017-07-08 00:12:46,0
1499447567,2017-07-08 00:12:47,0
1499447569,2017-07-08 00:12:49,0
1499447572,2017-07-08 00:12:52,0
1499447575,2017-07-08 00:12:55,0
1499447578,2017-07-08 00:12:58,0
1499447581,2017-07-08 00:13:01,0
1499447584,2017-07-08 00:13:04,0
