timestamp,datetime,setroom,room_temp
1499446815,2017-07-08 00:00:15,22,22
1499446835,2017-07-08 00:00:35,22,22
1499446855,2017-07-08 00:00:55,22,22
1499446875,2017-07-08 00:01:15,22,22
1499446895,2017-07-08 00:01:35,22,22
1499446915,2017-07-08 00:01:55,22,22
1499446935,2017-07-08 00:02:15,22,22
1499446955,2017-07-08 00:02:35,22,22
1499446975,2017-07-08 00:02:55,22,22
1499446995,2017-07-08 00:03:15,22,22
1499447015,2017-07-08 00:03:35,22,21
1499447035,2017-07-08 00:03:55,22,21
1499447055,2017-07-08 00:04:15,22,21
1499447075,2017-07-08 00:04:35,22,21
1499447095,2017-07-08 00:04:55,22,21
1499447115,2017-07-08 00:05:15,22,21
1499447135,2017-07-08 00:05:35,22,21
1499447155,2017-07-08 00:05:55,22,21
1499447175,2017-07-08 00:06:15,22,21
1499447195,2017-07-08 00:06:35,22,21
1499447215,2017-07-08 00:06:55,22,22
1499447235,2017-07-08 00:07:15,22,22
1499447255,2017-07-08 00:07:35,22,22
1499447275,2017-07-08 00:07:55,22,22
1499447295,2017-07-08 00:08:15,22,22
1499447315,2017-07-08 00:08:35,22,22
1499447335,2017-07-08 00:08:55,22,22
1499447355,2017-07-08 00:09:15,22,22
1499447375,2017-07-08 00:09:35,22,22
1499447395,2017-07-08 00:09:55,22,22
1499447415,2017-07-08 00:10:15,22,22
1499447435,2017-07-08 00:10:35,22,22
1499447455,2017-07-08 00:10:55,22,22
1499447475,2017-07-08 00:11:15,22,22
1499447495,2017-07-08 00:11:35,22,21
1499447515,2017-07-08 00:11:55,22,21
1499447535,2017-07-08 00:12:15,22,21
1499447555,2017-07-08 00:12:35,22,21
1499447575,2017-07-08 00:12:55,22,21
1499447595,2017-07-08 00:13:15,22,21
1499447615,2017-07-08 00:13:35,22,21
1499447635,2017-07-08 00:13:55,22,21
1499447655,2017-07-08 00:14:15,22,21
1499447675,2017-07-08 00:14:35,22,21
1499447696,2017-07-08 00:14:56,22,22
1499447716,2017-07-08 00:15:16,22,22
1499447735,2017-07-08 00:15:35,22,22
1499447755,2017-07-08 00:15:55,22,22
1499447776,2017-07-08 00:16:16,22,22
1499447795,2017-07-08 00:16:35,22,22
1499447815,2017-07-08 00:16:55,22,22
1499447835,2017-07-08 00:17:15,22,22
1499447855,2017-07-08 00:17:35,22,22
1499447875,2017-07-08 00:17:55,22,22
1499447895,2017-07-08 00:18:15,22,22
1499447915,2017-07-08 00:18:35,22,22
1499447935,2017-07-08 00:18:55,22,22
1499447955,2017-07-08 00:19:15,22,22
1499448184,2017-07-08 00:23:04,22,22
1499448204,2017-07-08 00:23:24,22,22
1499448204,2017-07-08 00:23:24,22,22
1499448204,2017-07-08 00:23:24,22,22
1499448204,2017-07-08 00:23:24,22,22
1499448206,2017-07-08 00:23:26,22,22
1499448206,2017-07-08 00:23:26,22,22
1499448206,2017-07-08 00:23:26,22,22
1499448206,2017-07-08 00:23:26,22,22
1499448206,2017-07-08 00:23:26,22,22
1499448206,2017-07-08 00:23:26,22,22
1499448207,2017-07-08 00:23:27,22,22
1499448215,2017-07-08 00:23:35,22,22
1499448235,2017-07-08 00:23:55,22,22
1499448255,2017-07-08 00:24:15,22,22
1499448275,2017-07-08 00:24:35,22,22
1499448295,2017-07-08 00:24:55,22,22
1499448315,2017-07-08 00:25:15,22,22
1499448335,2017-07-08 00:25:35,22,22
1499448355,2017-07-08 00:25:55,22,22
1499448375,2017-07-08 00:26:15,22,22
1499448395,2017-07-08 00:26:35,22,22
1499448415,2017-07-08 00:26:55,22,21
1499448435,2017-07-08 00:27:15,22,21
1499448455,2017-07-08 00:27:35,22,21
1499448475,2017-07-08 00:27:55,22,21
1499448495,2017-07-08 00:28:15,22,21
1499448515,2017-07-08 00:28:35,22,21
1499448535,2017-07-08 00:28:55,22,21
1499448555,2017-07-08 00:29:15,22,21
1499448575,2017-07-08 00:29:35,22,21
1499448595,2017-07-08 00:29:55,22,21
1499448615,2017-07-08 00:30:15,22,21
1499448635,2017-07-08 00:30:35,22,21
1499448655,2017-07-08 00:30:55,22,22
1499448675,2017-07-08 00:31:15,22,22
1499448696,2017-07-08 00:31:36,22,22
1499448716,2017-07-08 00:31:56,22,22
1499448735,2017-07-08 00:32:15,22,22
1499448755,2017-07-08 00:32:35,22,22
1499448775,2017-07-08 00:32:55,22,22
1499448795,2017-07-08 00:33:15,22,22
1499448815,2017-07-08 00:33:35,22,22
1499448835,2017-07-08 00:33:55,22,22
1499448855,2017-07-08 00:34:15,22,22
1499448875,2017-07-08 00:34:35,22,22
1499448895,2017-07-08 00:34:55,22,22
