datetime,status,power,energy,gateway_id,plugload_id
2017-12-04 00:13:32.375611,OFF,0,,,3WSP231613K1200162
2017-12-12 17:21:21.707391,ON,49.49,,,3WIS221445K1200321
2017-12-12 17:21:34.731898,ON,49.43,,,3WIS221445K1200321
2017-12-12 17:22:55.747152,ON,51.745,,1,3WIS221445K1200321
2017-12-12 17:23:28.708036,ON,51.865,,1,3WIS221445K1200321
2017-12-12 17:23:58.708373,ON,51.44,,1,3WIS221445K1200321
2017-12-12 17:24:25.730033,ON,51.46,,1,3WIS221445K1200321
2017-12-12 17:24:55.597274,OFF,0,,1,3WIS221445K1200321
2017-12-12 17:25:10.232472,ON,8.6,,1,3WIS221445K1200321
2017-12-12 17:25:20.010509,ON,9.185,,1,3WIS221445K1200321
2017-12-12 17:25:29.668946,ON,44.645,,1,3WIS221445K1200321
2017-12-12 17:25:39.794206,ON,44.965,,1,3WIS221445K1200321
2017-12-12 17:25:49.556526,ON,45.05,,1,3WIS221445K1200321
2017-12-12 17:25:59.856696,ON,44.825,,1,3WIS221445K1200321
2017-12-12 17:26:09.939571,ON,44.96,,1,3WIS221445K1200321
2017-12-12 17:26:19.613401,ON,44.955,,1,3WIS221445K1200321
2017-12-12 17:26:29.705570,ON,44.88,,1,3WIS221445K1200321
2017-12-12 17:26:39.811873,ON,44.86,,1,3WIS221445K1200321
2017-12-12 17:26:49.709185,ON,44.815,,1,3WIS221445K1200321
2017-12-12 17:26:59.667932,ON,44.725,,1,3WIS221445K1200321
2017-12-12 17:27:09.722753,ON,44.76,,1,3WIS221445K1200321
2017-12-12 17:27:19.628889,ON,44.8,,1,3WIS221445K1200321
2017-12-12 17:27:29.540558,ON,44.745,,1,3WIS221445K1200321
2017-12-12 17:27:39.655901,ON,44.575,,1,3WIS221445K1200321
2017-12-12 17:27:49.692643,ON,44.585,,1,3WIS221445K1200321
2017-12-12 17:30:53.106771,ON,46.62,,1,3WIS221445K1200321
2017-12-12 17:31:02.901405,ON,46.46,,1,3WIS221445K1200321
2017-12-12 17:31:12.744677,ON,46.505,,1,3WIS221445K1200321
2017-12-12 17:31:22.702553,ON,46.34,,1,3WIS221445K1200321
2017-12-12 17:31:32.779143,ON,46.225,,1,3WIS221445K1200321
2017-12-12 17:31:42.889016,ON,46.145,,1,3WIS221445K1200321
2017-12-12 17:31:52.890832,ON,46.245,,1,3WIS221445K1200321
2017-12-12 17:32:02.869895,ON,46.135,,1,3WIS221445K1200321
2017-12-12 17:32:12.843942,ON,46.12,,1,3WIS221445K1200321
2017-12-12 17:32:22.743887,ON,46.08,,1,3WIS221445K1200321
2017-12-12 17:32:32.815325,ON,45.98,,1,3WIS221445K1200321
2017-12-12 17:32:43.382800,ON,45.69,,1,3WIS221445K1200321
2017-12-12 17:32:53.446738,ON,45.76,,1,3WIS221445K1200321
2017-12-12 17:33:02.777136,ON,45.69,,1,3WIS221445K1200321
2017-12-12 17:33:12.886056,ON,45.53,,1,3WIS221445K1200321
2017-12-12 17:33:23.051989,ON,45.51,,1,3WIS221445K1200321
2017-12-12 17:33:32.973939,ON,45.4,,1,3WIS221445K1200321
2017-12-12 17:33:42.922631,ON,45.385,,1,3WIS221445K1200321
2017-12-12 17:33:52.960398,ON,45.38,,1,3WIS221445K1200321
2017-12-12 17:34:02.866637,ON,45.33,,1,3WIS221445K1200321
2017-12-12 17:34:12.890813,ON,45.275,,1,3WIS221445K1200321
2017-12-12 17:34:22.966730,ON,45.235,,1,3WIS221445K1200321
2017-12-12 17:34:33.137130,ON,45.235,,1,3WIS221445K1200321
2017-12-12 17:34:48.155985,ON,45.17,,1,3WIS221445K1200321
2017-12-12 17:34:57.843696,ON,45.125,,1,3WIS221445K1200321
2017-12-12 17:35:02.829249,ON,45.195,,1,3WIS221445K1200321
2017-12-12 17:35:12.932785,ON,47.525,,1,3WIS221445K1200321
2017-12-12 17:35:23.011144,ON,47.985,,1,3WIS221445K1200321
2017-12-12 17:35:32.897106,ON,47.91,,1,3WIS221445K1200321
2017-12-12 17:35:42.859614,ON,47.95,,1,3WIS221445K1200321
2017-12-12 17:49:58.653704,ON,5.12,,1,3WIS221445K1200321
2017-12-12 17:50:09.005415,ON,5.16,,1,3WIS221445K1200321
2017-12-12 17:50:18.371955,ON,5.085,,1,3WIS221445K1200321
