timestamp,datetime,setroom,room_temp
1499446803,2017-07-08 00:00:03,24,23
1499446809,2017-07-08 00:00:09,24,23
1499446815,2017-07-08 00:00:15,24,23
1499446819,2017-07-08 00:00:19,24,23
1499446823,2017-07-08 00:00:23,24,23
1499446828,2017-07-08 00:00:28,24,23
1499446833,2017-07-08 00:00:33,24,23
1499446838,2017-07-08 00:00:38,24,23
1499446843,2017-07-08 00:00:43,24,23
1499446848,2017-07-08 00:00:48,24,23
1499446854,2017-07-08 00:00:54,24,23
1499446858,2017-07-08 00:00:58,24,23
1499446863,2017-07-08 00:01:03,24,23
1499446868,2017-07-08 00:01:08,24,23
1499446873,2017-07-08 00:01:13,24,23
1499446878,2017-07-08 00:01:18,24,23
1499446883,2017-07-08 00:01:23,24,23
1499446888,2017-07-08 00:01:28,24,23
1499446893,2017-07-08 00:01:33,24,23
1499446898,2017-07-08 00:01:38,24,23
1499446903,2017-07-08 00:01:43,24,23
1499446908,2017-07-08 00:01:48,24,23
1499446913,2017-07-08 00:01:53,24,23
1499446918,2017-07-08 00:01:58,24,23
1499446923,2017-07-08 00:02:03,24,23
1499446928,2017-07-08 00:02:08,24,23
1499446938,2017-07-08 00:02:18,24,23
1499446943,2017-07-08 00:02:23,24,23
1499446943,2017-07-08 00:02:23,24,23
1499446948,2017-07-08 00:02:28,24,23
1499446953,2017-07-08 00:02:33,24,23
1499446958,2017-07-08 00:02:38,24,23
1499446963,2017-07-08 00:02:43,24,23
1499446968,2017-07-08 00:02:48,24,23
1499446973,2017-07-08 00:02:53,24,23
1499446978,2017-07-08 00:02:58,24,23
1499446983,2017-07-08 00:03:03,24,23
1499446988,2017-07-08 00:03:08,24,23
1499446993,2017-07-08 00:03:13,24,23
1499446998,2017-07-08 00:03:18,24,23
1499447003,2017-07-08 00:03:23,24,23
1499447008,2017-07-08 00:03:28,24,23
1499447013,2017-07-08 00:03:33,24,23
1499447018,2017-07-08 00:03:38,24,23
1499447023,2017-07-08 00:03:43,24,23
1499447028,2017-07-08 00:03:48,24,23
1499447033,2017-07-08 00:03:53,24,23
1499447038,2017-07-08 00:03:58,24,23
1499447043,2017-07-08 00:04:03,24,23
1499447048,2017-07-08 00:04:08,24,23
1499447053,2017-07-08 00:04:13,24,23
1499447058,2017-07-08 00:04:18,24,23
1499447063,2017-07-08 00:04:23,24,23
1499447068,2017-07-08 00:04:28,24,23
1499447073,2017-07-08 00:04:33,24,23
1499447078,2017-07-08 00:04:38,24,23
1499447083,2017-07-08 00:04:43,24,23
1499447088,2017-07-08 00:04:48,24,23
1499447093,2017-07-08 00:04:53,24,23
1499447098,2017-07-08 00:04:58,24,23
1499447103,2017-07-08 00:05:03,24,23
1499447108,2017-07-08 00:05:08,24,23
1499447113,2017-07-08 00:05:13,24,23
1499447118,2017-07-08 00:05:18,24,23
1499447123,2017-07-08 00:05:23,24,23
1499447128,2017-07-08 00:05:28,24,23
1499447133,2017-07-08 00:05:33,24,23
1499447138,2017-07-08 00:05:38,24,23
1499447143,2017-07-08 00:05:43,24,23
1499447148,2017-07-08 00:05:48,24,23
1499447153,2017-07-08 00:05:53,24,23
1499447158,2017-07-08 00:05:58,24,23
1499447163,2017-07-08 00:06:03,24,23
1499447168,2017-07-08 00:06:08,24,23
1499447173,2017-07-08 00:06:13,24,23
1499447178,2017-07-08 00:06:18,24,23
1499447183,2017-07-08 00:06:23,24,23
1499447188,2017-07-08 00:06:28,24,23
1499447193,2017-07-08 00:06:33,24,23
1499447198,2017-07-08 00:06:38,24,23
1499447203,2017-07-08 00:06:43,24,23
1499447208,2017-07-08 00:06:48,24,23
1499447213,2017-07-08 00:06:53,24,23
1499447218,2017-07-08 00:06:58,24,23
1499447223,2017-07-08 00:07:03,24,23
1499447228,2017-07-08 00:07:08,24,23
1499447233,2017-07-08 00:07:13,24,23
1499447238,2017-07-08 00:07:18,24,23
1499447243,2017-07-08 00:07:23,24,23
1499447248,2017-07-08 00:07:28,24,23
1499447253,2017-07-08 00:07:33,24,23
1499447258,2017-07-08 00:07:38,24,23
1499447263,2017-07-08 00:07:43,24,23
1499447268,2017-07-08 00:07:48,24,23
1499447273,2017-07-08 00:07:53,24,23
1499447278,2017-07-08 00:07:58,24,23
1499447283,2017-07-08 00:08:03,24,23
1499447288,2017-07-08 00:08:08,24,23
1499447293,2017-07-08 00:08:13,24,23
1499447298,2017-07-08 00:08:18,24,23
1499447303,2017-07-08 00:08:23,24,23
1499447308,2017-07-08 00:08:28,24,23
1499447313,2017-07-08 00:08:33,24,23
1499447318,2017-07-08 00:08:38,24,23
1499447323,2017-07-08 00:08:43,24,23
1499447328,2017-07-08 00:08:48,24,23
1499447333,2017-07-08 00:08:53,24,23
1499447338,2017-07-08 00:08:58,24,23
1499447343,2017-07-08 00:09:03,24,23
1499447348,2017-07-08 00:09:08,24,23
1499447353,2017-07-08 00:09:13,24,23
1499447358,2017-07-08 00:09:18,24,23
1499447363,2017-07-08 00:09:23,24,23
1499447368,2017-07-08 00:09:28,24,23
1499447378,2017-07-08 00:09:38,24,23
1499447383,2017-07-08 00:09:43,24,23
1499447383,2017-07-08 00:09:43,24,23
1499447388,2017-07-08 00:09:48,24,23
1499447393,2017-07-08 00:09:53,24,23
1499447398,2017-07-08 00:09:58,24,23
1499447403,2017-07-08 00:10:03,24,23
1499447408,2017-07-08 00:10:08,24,23
1499447413,2017-07-08 00:10:13,24,23
1499447418,2017-07-08 00:10:18,24,23
1499447423,2017-07-08 00:10:23,24,23
1499447428,2017-07-08 00:10:28,24,23
1499447433,2017-07-08 00:10:33,24,23
1499447438,2017-07-08 00:10:38,24,23
1499447443,2017-07-08 00:10:43,24,23
1499447448,2017-07-08 00:10:48,24,23
1499447453,2017-07-08 00:10:53,24,23
1499447458,2017-07-08 00:10:58,24,23
1499447463,2017-07-08 00:11:03,24,23
1499447468,2017-07-08 00:11:08,24,23
1499447473,2017-07-08 00:11:13,24,23
1499447479,2017-07-08 00:11:19,24,23
1499447484,2017-07-08 00:11:24,24,23
1499447489,2017-07-08 00:11:29,24,23
1499447493,2017-07-08 00:11:33,24,23
1499447498,2017-07-08 00:11:38,24,23
1499447503,2017-07-08 00:11:43,24,23
1499447508,2017-07-08 00:11:48,24,23
1499447513,2017-07-08 00:11:53,24,23
1499447518,2017-07-08 00:11:58,24,23
1499447523,2017-07-08 00:12:03,24,23
1499447528,2017-07-08 00:12:08,24,23
1499447533,2017-07-08 00:12:13,24,23
1499447538,2017-07-08 00:12:18,24,23
1499447543,2017-07-08 00:12:23,24,23
1499447548,2017-07-08 00:12:28,24,23
1499447553,2017-07-08 00:12:33,24,23
1499447558,2017-07-08 00:12:38,24,23
1499447563,2017-07-08 00:12:43,24,23
1499447568,2017-07-08 00:12:48,24,23
1499447573,2017-07-08 00:12:53,24,23
1499447578,2017-07-08 00:12:58,24,23
1499447583,2017-07-08 00:13:03,24,23
1499447588,2017-07-08 00:13:08,24,23
1499447593,2017-07-08 00:13:13,24,23
1499447598,2017-07-08 00:13:18,24,23
1499447603,2017-07-08 00:13:23,24,23
1499447608,2017-07-08 00:13:28,24,23
1499447614,2017-07-08 00:13:34,24,23
1499447619,2017-07-08 00:13:39,24,23
1499447623,2017-07-08 00:13:43,24,23
1499447628,2017-07-08 00:13:48,24,23
1499447633,2017-07-08 00:13:53,24,23
1499447638,2017-07-08 00:13:58,24,23
1499447643,2017-07-08 00:14:03,24,23
1499447648,2017-07-08 00:14:08,24,23
1499447653,2017-07-08 00:14:13,24,23
1499447658,2017-07-08 00:14:18,24,23
1499447663,2017-07-08 00:14:23,24,23
1499447668,2017-07-08 00:14:28,24,23
1499447673,2017-07-08 00:14:33,24,23
1499447678,2017-07-08 00:14:38,24,23
1499447683,2017-07-08 00:14:43,24,23
1499447701,2017-07-08 00:15:01,24,23
1499447706,2017-07-08 00:15:06,24,23
1499447706,2017-07-08 00:15:06,24,23
1499447706,2017-07-08 00:15:06,24,23
1499447708,2017-07-08 00:15:08,24,23
1499447713,2017-07-08 00:15:13,24,23
1499447718,2017-07-08 00:15:18,24,23
1499447723,2017-07-08 00:15:23,24,23
1499447728,2017-07-08 00:15:28,24,23
1499447733,2017-07-08 00:15:33,24,23
1499447738,2017-07-08 00:15:38,24,23
1499447743,2017-07-08 00:15:43,24,23
1499447748,2017-07-08 00:15:48,24,23
1499447753,2017-07-08 00:15:53,24,23
1499447758,2017-07-08 00:15:58,24,23
1499447763,2017-07-08 00:16:03,24,23
1499447768,2017-07-08 00:16:08,24,23
1499447773,2017-07-08 00:16:13,24,23
1499447779,2017-07-08 00:16:19,24,23
1499447783,2017-07-08 00:16:23,24,23
1499447789,2017-07-08 00:16:29,24,23
1499447794,2017-07-08 00:16:34,24,23
1499447799,2017-07-08 00:16:39,24,23
1499447804,2017-07-08 00:16:44,24,23
1499447808,2017-07-08 00:16:48,24,23
1499447813,2017-07-08 00:16:53,24,23
1499447818,2017-07-08 00:16:58,24,23
1499447823,2017-07-08 00:17:03,24,23
1499447828,2017-07-08 00:17:08,24,23
1499447833,2017-07-08 00:17:13,24,23
1499447838,2017-07-08 00:17:18,24,23
1499447843,2017-07-08 00:17:23,24,23
1499447848,2017-07-08 00:17:28,24,23
1499447853,2017-07-08 00:17:33,24,23
1499447858,2017-07-08 00:17:38,24,23
1499447863,2017-07-08 00:17:43,24,23
1499447869,2017-07-08 00:17:49,24,23
1499447873,2017-07-08 00:17:53,24,23
1499447878,2017-07-08 00:17:58,24,23
1499447883,2017-07-08 00:18:03,24,23
1499447888,2017-07-08 00:18:08,24,23
1499447893,2017-07-08 00:18:13,24,23
1499447898,2017-07-08 00:18:18,24,23
1499447903,2017-07-08 00:18:23,24,23
1499447908,2017-07-08 00:18:28,24,23
1499447913,2017-07-08 00:18:33,24,23
1499447918,2017-07-08 00:18:38,24,23
1499447923,2017-07-08 00:18:43,24,23
1499447928,2017-07-08 00:18:48,24,23
1499447933,2017-07-08 00:18:53,24,23
1499447938,2017-07-08 00:18:58,24,23
1499447943,2017-07-08 00:19:03,24,23
1499447949,2017-07-08 00:19:09,24,23
1499447954,2017-07-08 00:19:14,24,23
1499447958,2017-07-08 00:19:18,24,23
1499447963,2017-07-08 00:19:23,24,23
1499447968,2017-07-08 00:19:28,24,23
1499448247,2017-07-08 00:24:07,24,23
1499448252,2017-07-08 00:24:12,24,23
1499448252,2017-07-08 00:24:12,24,23
1499448252,2017-07-08 00:24:12,24,23
1499448252,2017-07-08 00:24:12,24,23
1499448252,2017-07-08 00:24:12,24,23
1499448252,2017-07-08 00:24:12,24,23
1499448252,2017-07-08 00:24:12,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448253,2017-07-08 00:24:13,24,23
1499448254,2017-07-08 00:24:14,24,23
1499448254,2017-07-08 00:24:14,24,23
1499448254,2017-07-08 00:24:14,24,23
1499448254,2017-07-08 00:24:14,24,23
1499448255,2017-07-08 00:24:15,24,23
1499448255,2017-07-08 00:24:15,24,23
1499448255,2017-07-08 00:24:15,24,23
1499448255,2017-07-08 00:24:15,24,23
1499448255,2017-07-08 00:24:15,24,23
1499448255,2017-07-08 00:24:15,24,23
1499448255,2017-07-08 00:24:15,24,23
1499448256,2017-07-08 00:24:16,24,23
1499448256,2017-07-08 00:24:16,24,23
1499448256,2017-07-08 00:24:16,24,23
1499448256,2017-07-08 00:24:16,24,23
1499448256,2017-07-08 00:24:16,24,23
1499448257,2017-07-08 00:24:17,24,23
1499448257,2017-07-08 00:24:17,24,23
1499448257,2017-07-08 00:24:17,24,23
1499448258,2017-07-08 00:24:18,24,23
1499448258,2017-07-08 00:24:18,24,23
1499448258,2017-07-08 00:24:18,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448259,2017-07-08 00:24:19,24,23
1499448263,2017-07-08 00:24:23,24,23
1499448268,2017-07-08 00:24:28,24,23
1499448273,2017-07-08 00:24:33,24,23
1499448278,2017-07-08 00:24:38,24,23
1499448283,2017-07-08 00:24:43,24,23
1499448288,2017-07-08 00:24:48,24,23
1499448293,2017-07-08 00:24:53,24,23
1499448298,2017-07-08 00:24:58,24,23
1499448303,2017-07-08 00:25:03,24,23
1499448308,2017-07-08 00:25:08,24,23
1499448313,2017-07-08 00:25:13,24,23
1499448318,2017-07-08 00:25:18,24,23
1499448323,2017-07-08 00:25:23,24,23
1499448328,2017-07-08 00:25:28,24,23
1499448338,2017-07-08 00:25:38,24,23
1499448343,2017-07-08 00:25:43,24,23
1499448343,2017-07-08 00:25:43,24,23
1499448348,2017-07-08 00:25:48,24,23
1499448353,2017-07-08 00:25:53,24,23
1499448358,2017-07-08 00:25:58,24,23
1499448363,2017-07-08 00:26:03,24,23
1499448368,2017-07-08 00:26:08,24,23
1499448374,2017-07-08 00:26:14,24,23
1499448379,2017-07-08 00:26:19,24,23
1499448383,2017-07-08 00:26:23,24,23
1499448388,2017-07-08 00:26:28,24,23
1499448393,2017-07-08 00:26:33,24,23
1499448398,2017-07-08 00:26:38,24,23
1499448403,2017-07-08 00:26:43,24,23
1499448408,2017-07-08 00:26:48,24,23
1499448413,2017-07-08 00:26:53,24,23
1499448418,2017-07-08 00:26:58,24,23
1499448423,2017-07-08 00:27:03,24,23
1499448428,2017-07-08 00:27:08,24,23
1499448433,2017-07-08 00:27:13,24,23
1499448438,2017-07-08 00:27:18,24,23
1499448443,2017-07-08 00:27:23,24,23
1499448448,2017-07-08 00:27:28,24,23
1499448453,2017-07-08 00:27:33,24,23
1499448458,2017-07-08 00:27:38,24,23
1499448463,2017-07-08 00:27:43,24,23
1499448468,2017-07-08 00:27:48,24,23
1499448475,2017-07-08 00:27:55,24,23
1499448479,2017-07-08 00:27:59,24,23
1499448483,2017-07-08 00:28:03,24,23
1499448488,2017-07-08 00:28:08,24,23
1499448493,2017-07-08 00:28:13,24,23
1499448498,2017-07-08 00:28:18,24,23
1499448503,2017-07-08 00:28:23,24,23
1499448508,2017-07-08 00:28:28,24,23
1499448513,2017-07-08 00:28:33,24,23
1499448518,2017-07-08 00:28:38,24,23
1499448523,2017-07-08 00:28:43,24,23
1499448528,2017-07-08 00:28:48,24,23
1499448533,2017-07-08 00:28:53,24,23
1499448538,2017-07-08 00:28:58,24,23
1499448543,2017-07-08 00:29:03,24,23
1499448548,2017-07-08 00:29:08,24,23
1499448553,2017-07-08 00:29:13,24,23
1499448558,2017-07-08 00:29:18,24,23
1499448563,2017-07-08 00:29:23,24,23
1499448568,2017-07-08 00:29:28,24,23
1499448573,2017-07-08 00:29:33,24,23
1499448578,2017-07-08 00:29:38,24,23
1499448583,2017-07-08 00:29:43,24,23
1499448588,2017-07-08 00:29:48,24,23
1499448593,2017-07-08 00:29:53,24,23
1499448598,2017-07-08 00:29:58,24,23
1499448603,2017-07-08 00:30:03,24,23
1499448608,2017-07-08 00:30:08,24,23
1499448613,2017-07-08 00:30:13,24,23
1499448618,2017-07-08 00:30:18,24,23
1499448623,2017-07-08 00:30:23,24,23
1499448628,2017-07-08 00:30:28,24,23
1499448633,2017-07-08 00:30:33,24,23
1499448638,2017-07-08 00:30:38,24,23
1499448643,2017-07-08 00:30:43,24,23
1499448648,2017-07-08 00:30:48,24,23
1499448653,2017-07-08 00:30:53,24,23
1499448658,2017-07-08 00:30:58,24,23
1499448663,2017-07-08 00:31:03,24,23
1499448668,2017-07-08 00:31:08,24,23
1499448673,2017-07-08 00:31:13,24,23
1499448678,2017-07-08 00:31:18,24,23
1499448683,2017-07-08 00:31:23,24,23
1499448688,2017-07-08 00:31:28,24,23
1499448693,2017-07-08 00:31:33,24,23
1499448698,2017-07-08 00:31:38,24,23
1499448703,2017-07-08 00:31:43,24,23
1499448708,2017-07-08 00:31:48,24,23
1499448713,2017-07-08 00:31:53,24,23
1499448718,2017-07-08 00:31:58,24,23
1499448723,2017-07-08 00:32:03,24,23
1499448728,2017-07-08 00:32:08,24,23
1499448733,2017-07-08 00:32:13,24,23
1499448738,2017-07-08 00:32:18,24,23
1499448743,2017-07-08 00:32:23,24,23
1499448748,2017-07-08 00:32:28,24,23
1499448753,2017-07-08 00:32:33,24,23
1499448758,2017-07-08 00:32:38,24,23
1499448763,2017-07-08 00:32:43,24,23
1499448768,2017-07-08 00:32:48,24,23
1499448773,2017-07-08 00:32:53,24,23
1499448778,2017-07-08 00:32:58,24,23
1499448783,2017-07-08 00:33:03,24,23
1499448788,2017-07-08 00:33:08,24,23
1499448793,2017-07-08 00:33:13,24,23
1499448798,2017-07-08 00:33:18,24,23
1499448803,2017-07-08 00:33:23,24,23
1499448808,2017-07-08 00:33:28,24,23
1499448814,2017-07-08 00:33:34,24,23
1499448819,2017-07-08 00:33:39,24,23
1499448823,2017-07-08 00:33:43,24,23
1499448828,2017-07-08 00:33:48,24,23
1499448834,2017-07-08 00:33:54,24,23
1499448839,2017-07-08 00:33:59,24,23
1499448843,2017-07-08 00:34:03,24,23
1499448848,2017-07-08 00:34:08,24,23
1499448853,2017-07-08 00:34:13,24,23
1499448858,2017-07-08 00:34:18,24,23
1499448863,2017-07-08 00:34:23,24,23
1499448868,2017-07-08 00:34:28,24,23
1499448873,2017-07-08 00:34:33,24,23
1499448878,2017-07-08 00:34:38,24,23
1499448883,2017-07-08 00:34:43,24,23
1499448888,2017-07-08 00:34:48,24,23
1499448893,2017-07-08 00:34:53,24,23
1499448898,2017-07-08 00:34:58,24,23
1499448903,2017-07-08 00:35:03,24,23
1499448908,2017-07-08 00:35:08,24,23
1499448913,2017-07-08 00:35:13,24,23
1499448918,2017-07-08 00:35:18,24,23
1499448923,2017-07-08 00:35:23,24,23
1499448928,2017-07-08 00:35:28,24,23
1499448934,2017-07-08 00:35:34,24,23
1499448939,2017-07-08 00:35:39,24,23
1499448943,2017-07-08 00:35:43,24,23
1499448948,2017-07-08 00:35:48,24,23
1499448958,2017-07-08 00:35:58,24,23
1499448964,2017-07-08 00:36:04,24,23
1499448964,2017-07-08 00:36:04,24,23
1499448968,2017-07-08 00:36:08,24,23
1499448973,2017-07-08 00:36:13,24,23
1499448978,2017-07-08 00:36:18,24,23
1499448983,2017-07-08 00:36:23,24,23
1499448988,2017-07-08 00:36:28,24,23
1499448993,2017-07-08 00:36:33,24,23
1499448998,2017-07-08 00:36:38,24,23
1499449003,2017-07-08 00:36:43,24,23
1499449008,2017-07-08 00:36:48,24,23
1499449013,2017-07-08 00:36:53,24,23
1499449018,2017-07-08 00:36:58,24,23
1499449023,2017-07-08 00:37:03,24,23
1499449028,2017-07-08 00:37:08,24,23
1499449033,2017-07-08 00:37:13,24,23
1499449038,2017-07-08 00:37:18,24,23
1499449043,2017-07-08 00:37:23,24,23
1499449048,2017-07-08 00:37:28,24,23
1499449053,2017-07-08 00:37:33,24,23
1499449059,2017-07-08 00:37:39,24,23
1499449064,2017-07-08 00:37:44,24,23
1499449068,2017-07-08 00:37:48,24,23
1499449073,2017-07-08 00:37:53,24,23
1499449078,2017-07-08 00:37:58,24,23
1499449083,2017-07-08 00:38:03,24,23
1499449088,2017-07-08 00:38:08,24,23
1499449093,2017-07-08 00:38:13,24,23
1499449098,2017-07-08 00:38:18,24,23
1499449103,2017-07-08 00:38:23,24,23
1499449108,2017-07-08 00:38:28,24,23
1499449113,2017-07-08 00:38:33,24,23
1499449118,2017-07-08 00:38:38,24,23
1499449123,2017-07-08 00:38:43,24,23
1499449128,2017-07-08 00:38:48,24,23
1499449133,2017-07-08 00:38:53,24,23
1499449138,2017-07-08 00:38:58,24,23
1499449143,2017-07-08 00:39:03,24,23
1499449148,2017-07-08 00:39:08,24,23
1499449153,2017-07-08 00:39:13,24,23
1499449159,2017-07-08 00:39:19,24,23
1499449164,2017-07-08 00:39:24,24,23
1499449168,2017-07-08 00:39:28,24,23
1499449174,2017-07-08 00:39:34,24,23
1499449179,2017-07-08 00:39:39,24,23
1499449183,2017-07-08 00:39:43,24,23
1499449188,2017-07-08 00:39:48,24,23
1499449193,2017-07-08 00:39:53,24,23
1499449198,2017-07-08 00:39:58,24,23
1499449203,2017-07-08 00:40:03,24,23
1499449208,2017-07-08 00:40:08,24,23
1499449213,2017-07-08 00:40:13,24,23
1499449218,2017-07-08 00:40:18,24,23
1499449223,2017-07-08 00:40:23,24,23
1499449228,2017-07-08 00:40:28,24,23
1499449233,2017-07-08 00:40:33,24,23
1499449238,2017-07-08 00:40:38,24,23
1499449248,2017-07-08 00:40:48,24,23
1499449253,2017-07-08 00:40:53,24,23
1499449253,2017-07-08 00:40:53,24,23
1499449258,2017-07-08 00:40:58,24,23
1499449263,2017-07-08 00:41:03,24,23
1499449268,2017-07-08 00:41:08,24,23
1499449273,2017-07-08 00:41:13,24,23
1499449278,2017-07-08 00:41:18,24,23
1499449283,2017-07-08 00:41:23,24,23
1499449288,2017-07-08 00:41:28,24,23
1499449294,2017-07-08 00:41:34,24,23
1499449299,2017-07-08 00:41:39,24,23
1499449303,2017-07-08 00:41:43,24,23
1499449308,2017-07-08 00:41:48,24,23
1499449313,2017-07-08 00:41:53,24,23
1499449318,2017-07-08 00:41:58,24,23
1499449324,2017-07-08 00:42:04,24,23
1499449329,2017-07-08 00:42:09,24,23
1499449333,2017-07-08 00:42:13,24,23
1499449338,2017-07-08 00:42:18,24,23
1499449343,2017-07-08 00:42:23,24,23
1499449348,2017-07-08 00:42:28,24,23
1499449353,2017-07-08 00:42:33,24,23
1499449358,2017-07-08 00:42:38,24,23
1499449363,2017-07-08 00:42:43,24,23
1499449368,2017-07-08 00:42:48,24,23
1499449373,2017-07-08 00:42:53,24,23
1499449378,2017-07-08 00:42:58,24,23
1499449383,2017-07-08 00:43:03,24,23
1499449388,2017-07-08 00:43:08,24,23
1499449393,2017-07-08 00:43:13,24,23
1499449398,2017-07-08 00:43:18,24,23
1499449403,2017-07-08 00:43:23,24,23
1499449408,2017-07-08 00:43:28,24,23
1499449413,2017-07-08 00:43:33,24,23
1499449418,2017-07-08 00:43:38,24,23
1499449423,2017-07-08 00:43:43,24,23
1499449428,2017-07-08 00:43:48,24,23
1499449433,2017-07-08 00:43:53,24,23
1499449438,2017-07-08 00:43:58,24,23
1499449443,2017-07-08 00:44:03,24,23
1499449448,2017-07-08 00:44:08,24,23
1499449453,2017-07-08 00:44:13,24,23
1499449458,2017-07-08 00:44:18,24,23
1499449463,2017-07-08 00:44:23,24,23
1499449468,2017-07-08 00:44:28,24,23
1499449473,2017-07-08 00:44:33,24,23
1499449479,2017-07-08 00:44:39,24,23
1499449484,2017-07-08 00:44:44,24,23
