timestamp,datetime,brightness
1499446838,8/7/2017 0:00,49
1499446858,8/7/2017 0:00,49
1499446878,8/7/2017 0:01,49
1499446898,8/7/2017 0:01,49
1499446918,8/7/2017 0:01,49
1499446938,8/7/2017 0:02,49
1499446958,8/7/2017 0:02,49
1499446978,8/7/2017 0:02,49
1499446998,8/7/2017 0:03,49
1499447018,8/7/2017 0:03,49
1499447038,8/7/2017 0:03,49
1499447058,8/7/2017 0:04,49
1499447078,8/7/2017 0:04,49
1499447098,8/7/2017 0:04,49
1499447118,8/7/2017 0:05,49
1499447138,8/7/2017 0:05,49
1499447158,8/7/2017 0:05,49
1499447178,8/7/2017 0:06,49
1499447198,8/7/2017 0:06,49
1499447218,8/7/2017 0:06,49
1499447238,8/7/2017 0:07,49
1499447258,8/7/2017 0:07,49
1499447278,8/7/2017 0:07,49
1499447298,8/7/2017 0:08,49
1499447318,8/7/2017 0:08,49
1499447338,8/7/2017 0:08,49
1499447358,8/7/2017 0:09,49
1499447378,8/7/2017 0:09,49
1499447398,8/7/2017 0:09,49
1499447418,8/7/2017 0:10,49
1499447438,8/7/2017 0:10,49
1499447458,8/7/2017 0:10,49
1499447478,8/7/2017 0:11,49
1499447498,8/7/2017 0:11,49
1499447518,8/7/2017 0:11,49
1499447538,8/7/2017 0:12,49
1499447558,8/7/2017 0:12,49
1499447578,8/7/2017 0:12,49
1499447598,8/7/2017 0:13,49
1499447618,8/7/2017 0:13,49
1499447638,8/7/2017 0:13,49
1499447658,8/7/2017 0:14,49
1499447678,8/7/2017 0:14,49
1499447698,8/7/2017 0:14,49
1499447718,8/7/2017 0:15,49
1499447738,8/7/2017 0:15,49
1499447758,8/7/2017 0:15,49
1499447778,8/7/2017 0:16,49
1499447798,8/7/2017 0:16,49
1499447818,8/7/2017 0:16,49
1499447838,8/7/2017 0:17,49
1499447858,8/7/2017 0:17,49
1499447878,8/7/2017 0:17,49
1499447898,8/7/2017 0:18,49
1499447918,8/7/2017 0:18,49
1499447938,8/7/2017 0:18,49
1499447958,8/7/2017 0:19,49
1499447978,8/7/2017 0:19,49
1499447998,8/7/2017 0:19,49
1499448018,8/7/2017 0:20,49
1499448038,8/7/2017 0:20,49
1499448058,8/7/2017 0:20,49
1499448078,8/7/2017 0:21,49
1499448098,8/7/2017 0:21,49
1499448118,8/7/2017 0:21,49
1499448138,8/7/2017 0:22,49
1499448158,8/7/2017 0:22,49
1499448178,8/7/2017 0:22,49
1499448198,8/7/2017 0:23,49
1499448218,8/7/2017 0:23,49
1499448238,8/7/2017 0:23,49
1499448258,8/7/2017 0:24,49
1499448278,8/7/2017 0:24,49
1499448298,8/7/2017 0:24,49
1499448318,8/7/2017 0:25,49
1499448338,8/7/2017 0:25,49
1499448358,8/7/2017 0:25,49
1499448378,8/7/2017 0:26,49
1499448398,8/7/2017 0:26,49
1499448418,8/7/2017 0:26,49
1499448438,8/7/2017 0:27,49
1499448458,8/7/2017 0:27,49
1499448478,8/7/2017 0:27,49
1499448498,8/7/2017 0:28,49
1499448518,8/7/2017 0:28,49
1499448538,8/7/2017 0:28,49
1499448558,8/7/2017 0:29,49
1499448578,8/7/2017 0:29,49
1499448598,8/7/2017 0:29,49
1499448618,8/7/2017 0:30,49
1499448638,8/7/2017 0:30,49
1499448658,8/7/2017 0:30,49
